Track Name,Artist,Album,Release Date,Popularity,Duration (ms),Track URL,Piano Solo Video,Duration (min:sec)
País Tropical,Jorge Ben Jor,Jorge Ben,1969-01-20,52,250666,https://open.spotify.com/track/4877bJ149OUJZHTiU5Jg8P,https://www.youtube.com/watch?v=IP1mHFgtu-g,4:10
Pra não dizer que não falei das flores,Geraldo Vandre,Enciclopédia Musical Brasileira,2001-01-01,44,361360,https://open.spotify.com/track/78lTDfRCqtxSvByIRMiXF2,https://www.youtube.com/watch?v=DoHQWZxjgMo,6:01
Fullgás,Marina Lima,Fullgás,1984-01-03,55,247533,https://open.spotify.com/track/2qcfKvkTopzpSOeLW9AvyM,https://www.youtube.com/watch?v=AB2PC-HMUTM,4:07
Mais Ninguém,Banda do Mar,Banda do Mar,2014-09-02,56,168640,https://open.spotify.com/track/6uFwhB7gVs7ExCAfJD5BWg,https://www.youtube.com/watch?v=ShLd5gxGrEc,2:48
Mistérios da Meia Noite,Zé Ramalho,"De Gosto, de Água e de Amigos (Versão com Faixas Bônus)",1985,47,200493,https://open.spotify.com/track/1yQ3yGf2bOY16PObhRNIEq,https://www.youtube.com/watch?v=NTC-yodf5es,3:20
Catedral,Zélia Duncan,Zélia Duncan,1994-03-09,58,170800,https://open.spotify.com/track/4tBZUrAviVgUzeTIiJLEe9,https://www.youtube.com/watch?v=Gb6dTPD4mOU,2:50
"Não chores mais [No Woman, No Cry] (feat. Os Paralamas do Sucesso)",Gilberto Gil,Kaya N'Gan Daya,2002-11-30,40,276200,https://open.spotify.com/track/03VJWrI1A8RnGA1VHi56h8,https://www.youtube.com/watch?v=xdi_x3CtKtk,4:36
Barquinho de papel,ANAVITÓRIA,Trilhas,2022-08-26,48,228231,https://open.spotify.com/track/7nqOSC8cwBvaTsfmmm7HKX,https://www.youtube.com/watch?v=a8LZDFvdM2I,3:48
Lembra de Mim - Ao Vivo,Ivan Lins,"Ivan Lins, Chucho Valdés e Irakere",1996,3,243893,https://open.spotify.com/track/4VCyAtZyUqEZWqeloFSdgc,https://www.youtube.com/watch?v=11eoZNzCv2I,4:03
Palco,Gilberto Gil,Luar,1981,51,266173,https://open.spotify.com/track/2wL88cvKXUOfHuYVd62hji,https://www.youtube.com/watch?v=SeMgcbZpY3Q,4:26
Taj Mahal,Jorge Ben Jor,Africa Brasil,1976-01-01,46,186933,https://open.spotify.com/track/7pdCDKs0i05N8ag4tAC5u5,https://www.youtube.com/watch?v=hUZ08hWSYAA,3:06
Tô Fazendo Falta - Ao Vivo,Joanna,Em Pintura Íntima - Ao Vivo,2007,34,228440,https://open.spotify.com/track/4EQOQQPvlz3l7a2mevf7W5,https://www.youtube.com/watch?v=PzxFlOHrD_0,3:48
Flor de Lis,Djavan,"A Voz, o Violão, a Música de Djavan",1976-01-01,58,225266,https://open.spotify.com/track/1TX4h6MrIZ0K3r4OOG11WO,https://www.youtube.com/watch?v=N3MImMZ9qPQ,3:45
Navio ancorado no ar,ANAVITÓRIA,Esquinas,2024-12-12,53,270833,https://open.spotify.com/track/2ic6RuezQKQ8AmScNeVC5s,https://www.youtube.com/watch?v=1Jh-A5B_8Y0,4:30
Sitio do Pica Pau Amarelo - Ao Vivo,Gilberto Gil,Unplugged (Ao vivo),1994-01-01,27,218026,https://open.spotify.com/track/7M6d5VQrPyUJCFC5F2nbIB,https://www.youtube.com/watch?v=nuQuTxLyFkA,3:38
Porque Eu Te Amo,ANAVITÓRIA,O Tempo É Agora,2018-08-03,57,216829,https://open.spotify.com/track/3idU6lZVKD6hvGjnpSHde8,https://www.youtube.com/watch?v=CzMa5RIYTS8,3:36
Cais,Milton Nascimento,Clube Da Esquina,1972-01-03,43,165333,https://open.spotify.com/track/1UvOFJFyfsm2OJkE3s48fs,https://www.youtube.com/watch?v=hpZe6nmdhKY,2:45
Sujeito De Sorte,Belchior,Alucinacao,1976-01-01,57,196560,https://open.spotify.com/track/1UsAjRCSavihMYsspqJz4e,https://www.youtube.com/watch?v=Tccg5C6TsMQ,3:16
Monalisa - Ao Vivo No Rio De Janeiro / 2006,Jorge Vercillo,Jorge Vercilo Ao Vivo,2006-01-01,56,209013,https://open.spotify.com/track/1HEVKie0Jg5yPfdMVygj6d,https://www.youtube.com/watch?v=MVg-zPYZ224,3:29
Travessia,Milton Nascimento,Travessia,1967-01-01,42,242013,https://open.spotify.com/track/6MN3vF1tGzG7nkAOLjK0YG,https://www.youtube.com/watch?v=5KFpOc46Gco,4:02
Voce E Linda - Remixed Original Album,Caetano Veloso,Uns,1983-01-01,55,292306,https://open.spotify.com/track/0hQbovQO5Cui5Imze8Q3oo,https://www.youtube.com/watch?v=359JunCRGZ8,4:52
Romaria - Remasterizado,Renato Teixeira,Renato Teixeira Obra Completa na RCA de 1978 a 1982 (Remasterizado),1978,43,243466,https://open.spotify.com/track/5HaAOqKwmgyXNAZKGVhdsS,https://www.youtube.com/watch?v=juRKyAZtdPc,4:03
Diga Sim Pra Mim,Isabella Taviani,Diga Sim,2007-01-01,42,249360,https://open.spotify.com/track/0agoGYU2CnNunOZylo5u7X,https://www.youtube.com/watch?v=Gamh-bitSKI,4:09
